id,title,alt_title,type,num_of_ep,studio,year,rating
3635,Kizumonogatari Movie 1: Tekketsu,Kizumonogatari Movie 1: Tekketsu-hen,Movie,1,Shaft,2016,4.4
2868,Tengen Toppa Gurren Lagann: Lagann-hen,Gurren Lagann Movie 2: The Lights in the Sky Are Stars,Movie,1,Gainax,2009,4.4
7324,Snow White with the Red Hair 2nd Season,Akagami no Shirayuki-hime 2nd Season,TV Series,12,Bones,2016,4.4
7923,"Kamisama Kiss: Kamisama, Shiawase ni Naru","Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA,1,TMS Entertainment,2016,4.4
6068,Gintama: Yorinuki Gintama-san on Theater 2D,No alternative title found,Other,2,Sunrise,2012,4.4
4767,Star Blazers: Space Battleship Yamato 2199,Uchuu Senkan Yamato 2199,TV Series,26,AIC,2012,4.4
1070,Nodame Cantabile,No alternative title found,TV Series,23,J.C. Staff,2007,4.4
7758,The Ancient Magus' Bride: Those Awaiting a Star,Mahou Tsukai no Yome: Hoshi Matsu Hito,OVA,3,Wit Studio,2016,4.4
7793,Yuri!!! on Ice,No alternative title found,TV Series,12,Mappa,2016,4.4
3309,Eve no Jikan Movie,Time of Eve Movie,Movie,1,Studio Rikka,2010,4.4
2973,Major Season 6,No alternative title found,TV Series,25,Studio Hibari,2010,4.4
7884,The Disastrous Life of Saiki K.,Saiki Kusuo no Psi Nan,TV Series,120,J.C. Staff,2016,4.4
143,Grave of the Fireflies,Hotaru no Haka,Movie,1,Studio Ghibli,1988,4.4
646,Samurai Champloo,No alternative title found,TV Series,26,Manglobe,2004,4.4
1377,Higurashi no Naku Koro ni Kai,When They Cry 2,TV Series,24,Studio Deen,2007,4.4
2962,Rainbow: Nisha Rokubou no Shichinin,No alternative title found,TV Series,26,MADHOUSE,2010,4.4
1683,Major Season 4,No alternative title found,TV Series,26,Studio Hibari,2008,4.4
7111,Doukyuusei,Doukyuusei -Classmates-,Movie,1,A-1 Pictures,2016,4.4
7048,Ace of the Diamond: Second Season,Diamond no Ace: Second Season,TV Series,51,MADHOUSE,2015,4.4
3477,Puella Magi Madoka Magica,Mahou Shoujo Madoka Magica,TV Series,12,Shaft,2011,4.4
3633,K-On! Movie,No alternative title found,Movie,1,Kyoto Animation,2011,4.4
7624,Detective Conan Movie 20: The Darkest Nightmare,Detective Conan Movie 20: Junkoku no Nightmare,Movie,1,TMS Entertainment,2016,4.4
8270,Detective Conan Episode One: Chiisakunatta Meitantei,Meitantei Conan Episode One: Chiisakunatta Meitantei,TV Special Series,1,TMS Entertainment,2016,4.4
1390,Major Season 1,No alternative title found,TV Series,26,Studio Hibari,2004,4.4
4751,One Piece Film: Z,No alternative title found,Movie,1,Toei Animation,2012,4.4
4112,Omae Umasou da na Movie,No alternative title found,Movie,1,No studio found,2010,4.4
6536,Fate/stay night: Heaven's Feel I. presage flower,No alternative title found,Movie,1,ufotable,2017,4.4
2755,Nodame Cantabile: Finale,No alternative title found,TV Series,11,J.C. Staff,2010,4.4
2165,Eve no Jikan,Time of Eve,Web,6,Studio Rikka,2008,4.4
459,Cowboy Bebop: The Movie,No alternative title found,Movie,1,Bones,2001,4.4
576,Hunter x Hunter OVA 3: Greed Island Final,No alternative title found,OVA,14,Nippon Animation,2004,4.4
7785,KonoSuba – God's blessing on this wonderful world!! 2,Kono Subarashii Sekai ni Shukufuku wo! 2,TV Series,10,Studio Deen,2017,4.4
8815,ReLIFE: Kanketsu-hen,No alternative title found,OVA,4,TMS Entertainment,2018,4.4
2963,Angel Beats!,No alternative title found,TV Series,13,P.A. Works,2010,4.4
2756,Katanagatari,No alternative title found,TV Series,12,WHITE FOX,2010,4.4
8182,Shelter,No alternative title found,Music Video,1,A-1 Pictures,2016,4.4
7323,Owarimonogatari,No alternative title found,TV Series,12,Shaft,2015,4.4
2357,Cross Game,No alternative title found,TV Series,50,Synergy SP,2009,4.4
4738,Mobile Suit Gundam: The Origin,No alternative title found,OVA,6,Sunrise,2015,4.4
6493,Yona of the Dawn,Akatsuki no Yona,TV Series,24,Studio Pierrot,2014,4.4
4735,Puella Magi Madoka Magica the Movie Part 2: Eternal,Mahou Shoujo Madoka Magica Movie 2: Eien no Monogatari,Movie,1,Shaft,2012,4.4
8967,A place further than the Universe,No alternative title found,TV Series,13,MADHOUSE,2018,4.4
4574,Major: World Series,No alternative title found,OVA,2,Synergy SP,2011,4.4
