id,tags
6877,Iyashikei
6877,Supernatural
6877,Based on a Manga
7193,Action
7193,Comedy
7193,Shounen
7193,Assassins
7193,Parody
7193,School Life
7193,Based on a Manga
6148,Drama
6148,Romance
6148,Shounen
6148,Classical Music
6148,Illness
6148,Melancholy
6148,Music
6148,noitaminA
6148,Psychological
6148,School Life
6148,Tournaments
6148,Physical Abuse
6148,Based on a Manga
6422,Shounen
6422,Sports
6422,Basketball
6422,School Club
6422,Tournaments
6422,Based on a Manga
4320,Drama
4320,Romance
4320,Shoujo
4320,Coming of Age
4320,Forest
4320,Japanese Mythology
4320,Loneliness
4320,Melancholy
4320,Supernatural
4320,Youkai
4320,Based on a Manga
8946,Action
8946,Fantasy
8946,Horror
8946,Dark Fantasy
8946,Isolated Society
8946,Military
8946,Outside World
8946,Political
8946,Post-apocalyptic
8946,Cannibalism
8946,Explicit Violence
8946,Based on a Manga
6439,Fantasy
6439,Seinen
6439,Forest
6439,Iyashikei
6439,Supernatural
6439,Based on a Manga
60,Comedy
60,Drama
60,Shounen
60,Delinquents
60,School Life
60,Slapstick
60,Teaching
60,Work Life
60,Bullying
60,Emotional Abuse
60,Based on a Manga
400,Action
400,Adventure
400,Drama
400,Sci Fi
400,Bounty Hunters
400,Drug Use
400,Episodic
400,Noir
400,Original Work
400,Violence
400,Western
3993,Drama
3993,Shoujo
3993,Slice of Life
3993,Bodyguards
3993,Cats
3993,Countryside
3993,Episodic
3993,Iyashikei
3993,Japanese Mythology
3993,Orphans
3993,Supernatural
3993,Youkai
3993,Based on a Manga
7640,Comedy
7640,Ecchi
7640,Shounen
7640,Cooking
7640,Culinary School
7640,Food and Beverage
7640,School Life
7640,Tournaments
7640,Based on a Manga
6853,Action
6853,Fantasy
6853,Coming of Age
6853,Japanese Mythology
6853,Original Work
6853,Person in a Strange World
7783,Action
7783,Adventure
7783,Drama
7783,Fantasy
7783,Romance
7783,Shoujo
7783,Orphans
7783,Political
7783,Royalty
7783,Violence
7783,Based on a Manga
9011,Action
9011,Adventure
9011,Comedy
9011,Fantasy
9011,Shounen
9011,Guilds
9011,Magic
9011,Based on a Manga
5328,Shounen
5328,Sports
5328,Basketball
5328,School Club
5328,Tournaments
5328,Based on a Manga
8949,Comedy
8949,Ecchi
8949,Shounen
8949,Boarding House
8949,Cooking
8949,Culinary School
8949,Food and Beverage
8949,Neighbors
8949,School Life
8949,Tournaments
8949,Based on a Manga
7172,Comedy
7172,Romance
7172,Shoujo
7172,Animal Characteristics
7172,Japanese Mythology
7172,Master-Servant Relationship
9431,Comedy
9431,Ecchi
9431,Shounen
9431,Cooking
9431,Culinary School
9431,Food and Beverage
9431,School Life
9431,Tournaments
9431,Based on a Manga
322,Drama
322,Sci Fi
322,Military
322,Outer Space
322,Political
322,Rivalries
322,Space Opera
322,War
322,Explicit Violence
322,Based on a Novel
7585,Action
7585,Comedy
7585,Drama
7585,Sci Fi
7585,Shounen
7585,School Life
7585,Superheroes
7585,Superpowers
7585,Weak to Strong
7585,Based on a Manga
4707,Drama
4707,Shounen
4707,Anime Industry
4707,Manga Industry
4707,Otaku Culture
4707,Voice Acting
4707,Writers
4707,Based on a Manga
9952,Action
9952,Fantasy
9952,Sci Fi
9952,Dark Fantasy
9952,Magic
9952,Overpowered Main Characters
9952,Person in a Strange World
9952,RPG
9952,Trapped in a Video Game
9952,Virtual Reality
9952,Based on a Light Novel
2265,Drama
2265,Shoujo
2265,Slice of Life
2265,Bodyguards
2265,Cats
2265,Countryside
2265,Episodic
2265,Iyashikei
2265,Japanese Mythology
2265,Orphans
2265,Supernatural
2265,Youkai
2265,Based on a Manga
4397,Drama
4397,Sci Fi
4397,Thriller
4397,Time Travel
4397,Based on a Visual Novel
3805,Mystery
3805,Overpowered Main Characters
3805,Supernatural
3805,Based on a Light Novel
8102,Action
8102,Adventure
8102,Fantasy
8102,Shounen
8102,Demons
8102,Magic
8102,Medieval
8102,Overpowered Main Characters
8102,Pigs
8102,Royalty
8102,Superpowers
8102,Violence
8102,Based on a Manga
6039,Action
6039,Horror
6039,Sci Fi
6039,Seinen
6039,Aliens
6039,Body Sharing
6039,Psychological
6039,Animal Abuse
6039,Bullying
6039,Explicit Violence
6039,Based on a Manga
9230,Drama
9230,Fantasy
9230,Shoujo
9230,Bodyguards
9230,Cats
9230,Countryside
9230,Episodic
9230,Iyashikei
9230,Japanese Mythology
9230,Orphans
9230,Supernatural
9230,Youkai
9230,Based on a Manga
8315,Shoujo
8315,Slice of Life
8315,Bodyguards
8315,Cats
8315,Countryside
8315,Iyashikei
8315,Japanese Mythology
8315,Orphans
8315,Supernatural
8315,Youkai
8315,Based on a Manga
1048,Mystery
1048,Shounen
1048,Criminals
1048,Detectives
1048,Mind Games
1048,Overpowered Main Characters
1048,Psychological
1048,Psychopaths
1048,Rivalries
1048,Serial Killers
1048,Shinigami
1048,Supernatural
1048,Thriller
1048,Vigilantes
1048,Based on a Manga
2283,Drama
2283,Shounen
2283,Sports
2283,Baseball
2283,Based on a Manga
6774,Comedy
6774,Ecchi
6774,Shounen
6774,Animeism
6774,Boarding House
6774,Cooking
6774,Culinary School
6774,Food and Beverage
6774,Neighbors
6774,School Life
6774,Based on a Manga
9914,Action
9914,Drama
9914,Chinese Animation
9914,MMORPG
9914,RPG
9914,Tournaments
9914,Based on a Light Novel
9914,Based on a Web Novel
8267,Mecha
8267,Sci Fi
8267,Original Work
8267,Real Robot
8267,Recap
5323,Action
5323,Fantasy
5323,Horror
5323,Shounen
5323,Dark Fantasy
5323,Isolated Society
5323,Military
5323,Outside World
5323,Overpowered Main Characters
5323,Post-apocalyptic
5323,Revenge
5323,Cannibalism
5323,Explicit Violence
5323,Based on a Manga
7140,Drama
7140,Sci Fi
7140,Time Travel
7140,Based on a Visual Novel
1188,Action
1188,Horror
1188,Seinen
1188,Conspiracy
1188,England
1188,Europe
1188,Gunfights
1188,Master-Servant Relationship
1188,Overpowered Main Characters
1188,Religion
1188,Supernatural
1188,Vampires
1188,Explicit Sex
1188,Explicit Violence
1188,Mature Themes
1188,Physical Abuse
1188,Sexual Abuse
1188,Based on a Manga
1053,Fantasy
1053,Seinen
1053,Episodic
1053,Iyashikei
1053,Supernatural
1053,Based on a Manga
7577,Action
7577,Mystery
7577,Shounen
7577,Proxy Battles
7577,Supernatural
7577,Violence
7577,Animal Abuse
7577,Based on a Manga
2842,Action
2842,Comedy
2842,Drama
2842,Sci Fi
2842,Shounen
2842,Aliens
2842,Feudal Japan
2842,Recap
2842,Samurai
2842,Swordplay
2842,Based on a Manga
7148,Action
7148,Shounen
7148,Ghosts
7148,Gods
7148,Japanese Mythology
7148,Supernatural
7148,Based on a Manga
4458,Sci Fi
4458,Based on a Visual Novel
6087,Comedy
6087,Shounen
6087,Slice of Life
6087,Art
6087,Countryside
6087,Island
6087,Iyashikei
6087,Lifestyle Change
6087,Based on a Manga
9802,Action
9802,Adventure
9802,Comedy
9802,Fantasy
9802,Magic
9802,Monsters
9802,Person in a Strange World
9802,Reincarnation
9802,RPG
9802,Violence
9802,Based on a Light Novel
566,Sci Fi
566,Cyberpunk
566,Cyborgs
566,Hacking
566,Noir
566,Based on a Manga
7939,Drama
7939,Sci Fi
7939,Melancholy
7939,War
7939,Based on a Light Novel
6808,Action
6808,Fantasy
6808,Horror
6808,Shounen
6808,Dark Fantasy
6808,Isolated Society
6808,Military
6808,Outside World
6808,Overpowered Main Characters
6808,Post-apocalyptic
6808,Cannibalism
6808,Explicit Violence
6808,Based on a Manga
7549,Shounen
7549,19th Century
7549,Butlers
7549,Europe
7549,Master-Servant Relationship
7549,Supernatural
7549,Based on a Manga
3752,Drama
3752,Romance
3752,Childhood Friends
3752,Coming of Age
3752,Ghosts
3752,Melancholy
3752,noitaminA
3752,Original Work
3752,Supernatural
8973,Drama
8973,Original Work
5750,Adventure
5750,Ecchi
5750,Fantasy
5750,High Stakes Games
5750,Overpowered Main Characters
5750,Person in a Strange World
5750,PVP
5750,Royalty
5750,Siblings
5750,Based on a Light Novel
5098,Drama
5098,Josei
5098,Romance
5098,Sports
5098,Love Triangle
5098,School Club
5098,School Life
5098,Tournaments
5098,Based on a Manga
6694,Action
6694,Adventure
6694,Comedy
6694,Shounen
6694,Monster-of-the-week
6694,Proxy Battles
6694,Supernatural
6694,Animal Abuse
6694,Explicit Violence
6694,Based on a Manga
1078,Action
1078,Adventure
1078,Comedy
1078,Mecha
1078,Sci Fi
1078,Combining Mecha
1078,Original Work
1078,Post-apocalyptic
1078,Super Robot
1078,Violence
6830,Drama
6830,Josei
6830,Romance
6830,Adult Couples
6830,Animeism
6830,Apprenticeship
6830,Historical
6830,Love Triangle
6830,Based on a Manga
3999,Drama
3999,Shounen
3999,Anime Industry
3999,Manga Industry
3999,Otaku Culture
3999,Voice Acting
3999,Writers
3999,Based on a Manga
9376,Action
9376,Adventure
9376,Drama
9376,Horror
9376,15th Century
9376,Demons
9376,Europe
9376,Historical
9376,Magic
9376,Medieval
9376,Supernatural
9376,Vampires
9376,Explicit Violence
9376,Physical Abuse
9376,Based on a Video Game
2481,Adventure
2481,Drama
2481,Fantasy
2481,Romance
2481,Adult Couples
2481,Animal Characteristics
2481,God-Human Relationship
2481,Gods
2481,Mature Romance
2481,Medieval
2481,Based on a Light Novel
2636,Action
2636,Drama
2636,Mecha
2636,Sci Fi
2636,Post-apocalyptic
2636,Super Robot
7623,Action
7623,Comedy
7623,Shounen
7623,Overpowered Main Characters
7623,Psychic Powers
7623,Psychological
7623,School Life
7623,Supernatural
7623,Superpowers
7623,Violence
7623,Based on a Manga
3210,Action
3210,Adventure
3210,Fantasy
3210,Shounen
3210,Pirates
3210,Superpowers
3210,Based on a Manga
7688,Action
7688,Comedy
7688,Drama
7688,Romance
7688,Sci Fi
7688,Shounen
7688,Aliens
7688,Crude
7688,Feudal Japan
7688,Gag
7688,Parody
7688,Samurai
7688,Slapstick
7688,Swordplay
7688,Based on a Manga
710,Action
710,Drama
710,Shounen
710,Sports
710,Boxing
710,Hand to Hand Combat
710,Based on a Manga
6861,Action
6861,Fantasy
6861,Contemporary Fantasy
6861,Magic
6861,Proxy Battles
6861,Superpowers
