title,alt_title,type,num_of_ep,studio,year,rating,description,tags

Eyeshield 21,No alternative title found,TV Series,145,Gallop,2005,4.1,"Sena was always a weak child, constantly having to run away from bullies; so much, that he became good at it. Now, as a teenager, Sena’s skill at running has become so impressive that the diabolical mastermind of the school football team notices his talent and recruits him. Yet to keep his privacy intact and his dangerous hobby a secret from his overprotective childhood friend Mamori, Sena is forced to develop a secret identity: the ace running back, Eyeshield 21! But the world is full of talented rivals, and Sena has a long way to go until he can reach the top...","['Action', 'Comedy', 'Drama', 'Shounen', 'Sports', 'School Club', 'School Life', 'Tournaments', 'Physical Abuse', 'Based on a Manga']"

Black Jack Final,No alternative title found,OVA,2,Tezuka Productions,2011,4.1,"Black Jack's latest patient holds a link to Pinoko's past.Then, Black Jack is kidnapped by the government of a war-torn country.","['Drama', 'Shounen', 'Doctors', 'Kidnapping', 'Medical', 'Based on a Manga']"

Assassination Classroom,Ansatsu Kyoushitsu,Other,1,Brain's Base,2013,4.1,"The story begins after 70% of the moon was suddenly vaporized in an explosion. The super lifeform responsible for this catastrophe is a strange tentacled creature that can slink around at supersonic Mach 20 speeds. It has a 10 billion yen (US$100 million) price on its head, but for some reason, this creature ends up teaching a middle school class at the beginning of the school year. The students have until graduation to assassinate the teacher, or it will destroy Earth as well.","['Action', 'Comedy', 'Shounen', 'Aliens', 'Assassins', 'School Life', 'Based on a Manga']"

WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,TV Series,12,Satelight,2017,4.1,"The fleeting and sad story about little girls known as fairy weapons and an associate hero that survived. This is a world after it was attacked by unidentified monsters known as beasts and many of the species in the world, including humans, had been destroyed. The species that had managed to survived left the ground and were living on a floating island called Regal Ele. Willem Kumesh, wakes up above the clouds 500 years later and couldn’t protect the ones who he wanted to protect. Actually, he was living in despair because he was the only survivor. He then ends up meeting a group of girls while starting an unexpected weapon management job.","['Drama', 'Fantasy', 'Mystery', 'Romance', 'Slice of Life', 'Island', 'Magic', 'Military', 'Post-apocalyptic', 'Based on a Light Novel']"

Macross Frontier: Itsuwari no Utahime,No alternative title found,Movie,1,Satelight,2009,4.1,"The galaxy songstress Sheryl Nome, Ranka Lee, Alto Saotome & friends are traveling space along with the New Macross class ship -Macross Frontier- that contains 10 million citizens in search for new planets in which humankind can develop and progress. The perils of space are vast as itself, the threat from the alien insect-like race Vajra will push all Macross Frontier fleet to an edge, is this the ultimate humankind enemy, or is there something even worse in space. Music & songs will prove one of the most valuable human assets in the space even more powerful than combat VF mechas, as it can reach not only humans but the space and beyond.","['Action', 'Drama', 'Mecha', 'Romance', 'Sci Fi', 'Idols', 'Love Triangle', 'Music', 'Real Robot', 'Space Opera', 'Transforming Mecha', 'Nudity']"

Thunderbolt Fantasy: Sword Seekers 2,Thunderbolt Fantasy: Touri-ken Yuuki 2,TV Series,4,No studio found,2018,4.1,"Carrying the Sorcerous Sword Index,  a treasure said to invite calamity, Shāng Bù Huàn continues to wander the land. After departing his birthplace of Xi Yu and arriving in Dōng Li, he found a brief respite before being discovered by his bitter enemy, Huò Shì Míng Huáng--and now, his life is once again in danger. From the distant west, countless bizarre killers with otherworldly powers assail him... until a strange bard clad in crimson arrives to help.","['Action', 'Fantasy', 'Original Work', 'Swordplay', 'Violence']"

Osomatsu-san,Mr. Osomatsu,TV Series,25,Studio Pierrot,2015,4.1,"Matsuno household has six naughty and mischievous sons (who are sextuplets), led by the eldest Osomatsu. They were grade schoolers back in the Shouwa period, but despite of still living in the same old household, the street view as well as the life style of modern day society have changed drastically.","['Comedy', 'Josei', 'Slice of Life', 'Breaking the Fourth Wall', 'Episodic', 'Gag', 'Parody', 'Slapstick', 'Based on a Manga']"

Danganronpa 3 -The End of Hope's Peak Academy- Future Arc,Danganronpa 3: The End of Kibougamine Gakuen: Mirai-hen,TV Series,12,Lerche,2016,4.1,"Makoto Naegi is under suspicion of treason after shielding a remnant of Despair. The Future Foundation, founded to save the world from chaos caused by Ultimate Despair, gathers to decide his punishment when they are captured by Monokuma. Thrusted into an ultimate death game, they must find the true traitor and kill him if they hope to survive. The tale of despair in which hope kills hope begins.","['Mystery', 'High Stakes Games', 'Play or Die', 'Psychological', 'Violence', 'Based on a Video Game']"

The Dragon Dentist (2017),Ryuu no Haisha,TV Special Series,2,Studio Khara,2017,4.1,"The story takes place in Dragon Country. Nonoko is a newly appointed dentist and her mission is to protect the dragon, the guardian of the country, from tooth-cavity bacteria. One day, amid increasingly fierce battles with the neighboring country, Nonoko finds on the dragon's tooth an unconscious boy soldier from the enemy country. His name is Bell, and he has been resurrected from inside the tooth by the dragon—a supernatural phenomenon that legend says occurs before a major disaster. As Nonoko and Bell go through a series of fierce battles, they eventually learn to accept their fate.","['Action', 'Drama', 'Fantasy', 'Dragons', 'Original Work', 'War']"

Mobile Suit Gundam SEED,Gundam SEED,TV Series,50,Sunrise,2002,4.1,"The universe of the future is divided between the Earth Alliance and ZAFT. After a year of war, ZAFT attacks the neutral colony Heliopolis to steal five prototype mobile suits. The mission is a success, but a young man named Kira stumbles upon the fifth Gundam, and he may be the Alliance's only hope...","['Action', 'Drama', 'Mecha', 'Sci Fi', 'Original Work', 'Outer Space', 'Rivalries', 'Sexual Content', 'War']"

Noblesse: Awakening,No alternative title found,OVA,1,Production I.G,2016,4.1,Cadis Etrama di Raizel wakes up from 820-years long sleep and starts a new life as a high school student. His peaceful days as a student are soon interrupted as his new human friends are assaulted by mysterious attackers with superhuman abilities.,"['Action', 'Fantasy', 'Shounen', 'Overpowered Main Characters', 'Supernatural', 'Vampires', 'Explicit Violence', 'Physical Abuse', 'Based on a Manga']"

Yu-Gi-Oh! Movie 4: The Dark Side of Dimensions,No alternative title found,Movie,1,Gallop,2016,4.1,"The story takes place six months after the end of the original series, when Yugi Muto and his friends are preparing to graduate from high school. While Yugi still feels like he's lost a part of himself, he's come to terms with the Pharaoh's passing, now looking forward to a future alongside his classmates. However, other people may not be so willing to let the past alone.","['Shounen', 'Card Battles', 'Supernatural', 'Based on a Manga']"

A Certain Magical Index Movie: The Miracle of Endymion,Toaru Majutsu no Index Movie: Endymion no Kiseki,Movie,1,J.C. Staff,2013,4.1,"Welcome to Academy City, a futuristic metropolis populated with super-powered students. As the brightest intellectual minds in the city work to complete the world’s first space elevator—a towering spire capable of taking citizens into the heavens—perpetually unlucky Kamijo and nun-in-training Index befriend a talented street musician named Arisa. When the beautiful singer lands a big break, her miraculous voice attracts unwanted attention, making the songstress a target for magicians and scholars alike. As the battle between sorcery and science blasts into space, Kamijo, Index, and their allies in Academy City are rocketed to a psychedelic stadium thousands of feet above Japan in a desperate attempt to keep Arisa—and the rest of the world—safe.","['Action', 'Sci Fi', 'Magic', 'Psychic Powers', 'Supernatural', 'Superpowers', 'Based on a Light Novel']"

The Place Promised In Our Early Days,No alternative title found,Movie,1,CoMix Wave Inc.,2004,4.1,"At the end of World War II, Japan was split and a great tower was erected that reached the skies. For three friends, Hiroki, Takuya, and Sayuri, memories of their summer spent together would stay with them forever. During that precious time, the three promised to one day travel to the tower in the skies on the wings of a white plane -- to finally see its brilliance and the surrounding land of Ezo -- but when Sayuri suddenly disappeared from their lives, the promise that once was made was broken. Though time continues to pass, will the three ever meet again some day?","['Drama', 'Romance', 'Sci Fi', 'Childhood Promise', 'Original Work']"

Aikatsu! The Movie,No alternative title found,Movie,1,Sunrise,2014,4.1,"The story of the anime revolves around Ichigo, who was just a normal middle school student until she suddenly got involved in the world of idols. The film will center around Aikatsu!'s greatest ""Super Live"" concert yet, the Dai Star Miya Ichigo Matsuri. Ichigo prepares for the concert with press conferences, last-minute lessons, and more.","['Idols', 'Music', 'Showbiz', 'Based on a Card Game']"

Uchiage Hanabi,DAOKO x Kenshi Yonezu: Uchiage Hanabi,Music Video,1,Shaft,2017,4.1,"Official music video for Uchiage Hanabi, Shita Kara Miru ka? Yo Kara Miru ka? ending theme by DAOKO x Kenshi Yonezu.",['Based on a Movie']

A Certain Magical Index,Toaru Majutsu no Index,TV Series,24,J.C. Staff,2008,4.1,"Touma Kamijou's right hand has the ability to nullify any form of supernatural power, whether it be magical, psychic, or divine; he lives in a city populated by students with these powers. Yet unfortunately for Touma, his arm also seems to nullify good luck. Despite his bad luck, the boy tries to stay out of trouble and just live out his life, trying to be the ""good guy"" whenever he can; but trouble enters his life one day when he finds a young girl hanging on his balcony. She turns out to be a nun of the Church of England, bearing the Index-Librorum-Prohibitorum - a collection of 103,000 forbidden texts, and as a result has a number of people after her. How far will Touma go to protect his new companion from her pursuers?","['Action', 'Sci Fi', 'Magic', 'Supernatural', 'Superpowers', 'Based on a Light Novel']"

Yowamushi Pedal: Spare Bike,No alternative title found,Movie,1,TMS Entertainment,2016,4.1,"The anime will have two parts, one focusing on Yuusuke Makishima and the other on Jinpachi Toudou. Makishima's story will detail how he joined the Souhoku bicycle racing club as a first year and met scorn from his seniors because of his strange style of dancing. Toudou's story will reveal how he first got into road racing in his second year of middle school, when a friend challenged him to a race but he initially refused because he wanted to avoid helmet hair.","['Shounen', 'Sports', 'Cycling', 'Racing', 'School Club', 'School Life', 'Tournaments', 'Based on a Manga']"

Hakuouki Sekkaroku,Hakuoki: A Memory of Snow Flowers,OVA,6,Studio Deen,2011,4.1,"Taking place between episodes 8 and 9 of the first season of Hakuoki, Chizuru goes on an undercover mission in Shimabara for the Shinsegumi. Dressing as a geisha, each episode tells the story of the undercover mission through the point of view of each captain. But it isn't just the rival clans the Shinsengumi need to worry about. It's the demons that keep popping up with the intent to kill anyone in their path that makes this Hakuoki installment worth watching!","['Action', 'Feudal Japan', 'Historical', 'Samurai', 'Based on an Otome Game', 'Based on a Visual Novel']"

Bleach,No alternative title found,TV Series,366,Studio Pierrot,2004,4.1,"Fifteen-year-old Ichigo Kurosaki is a typical teen with fighting skills, two caring sisters and a special trait: he can see ghosts. However, when Ichigo and his family find themselves under attack by a huge beast, Ichigo discovers that there’s more to the supernatural world than the everyday specter. Vengeful spirits known as Hollows roam the world in search of devouring souls, and Shinigami – soul reapers – work tirelessly to defeat them and guide normal ghosts into a place called Soul Society. Ichigo valiantly fights the Hollow that threatens his sisters, but on the verge of defeat a Shinigami named Rukia gives him her powers, turning him into a Shinigami himself. Ichigo must now adjust to his new life of both vanquishing and saving souls for the sake of Soul Society.","['Action', 'Shounen', 'Afterlife', 'Shinigami', 'Supernatural', 'Superpowers', 'Swordplay', 'Based on a Manga']"

Super Lovers OVA,No alternative title found,OVA,2,Studio Deen,2017,4.1,Unaired episodes bundled with the 10th and 11th limited edition volumes of the Super Lovers manga.,"['BL', 'Romance', 'Shounen-ai', 'Based on a Manga']"

Mardock Scramble: The First Compression,No alternative title found,Movie,1,GoHands,2010,4.1,"To stop the unstoppable you need the irresistible. To kill the un-killable, you need someone for whom death no longer has a meaning. And to catch the perfect serial killer, you need the one person who knows his methods the best… his last victim! Murdered and reborn, no longer human, the female cyborg named Balot exists for one reason: to track down the man who killed her and bring him to justice.","['Sci Fi', 'Cyberpunk', 'Drug Use', 'Explicit Sex', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Based on a Novel']"

Fairy Tail OVA,No alternative title found,OVA,5,Satelight,2011,4.1,"Unaired episodes bundled with the 26th, 27th, 31st, 35th, and 38th volumes of the Fairy Tail manga.","['Comedy', 'Fantasy', 'Shounen', 'Magic', 'Based on a Manga']"

To Love Ru: Darkness OVA,No alternative title found,OVA,6,XEBEC,2012,4.1,"Unaired episodes bundled with the 5th, 6th, 8th, 9th, 12th, and 13th limited edition volumes of the To Love-Ru Darkness manga, respectively.","['Comedy', 'Ecchi', 'Harem', 'Romance', 'Sci Fi', 'Shounen', 'Slice of Life', 'Aliens', 'Love Triangle', 'Panty Shots', 'Sexual Content', 'Nudity', 'Based on a Manga']"

Genshiken,No alternative title found,TV Series,12,Palm Studio,2004,4.1,"Ever wanted to join an anime club but felt its geekiness would hurt your reputation? Sasahara feels your pain. Genshiken, the Society for the Study of Modern Visual Culture, is an organization of college otaku obsessed with anime, manga and video games. Their daily activities include holding impromptu cosplay photo shoots, braving the crowds and avoiding injury at doujinshi conventions, and tolerating harassment by Saki, a girl irked by her boyfriend's otaku-ness! It's a perfect match for Sasahara's interests, so why is it so difficult for him to join?","['Comedy', 'Drama', 'Seinen', 'Slice of Life', 'College', 'Doujinshi Industry', 'Manga Industry', 'Otaku Culture', 'Parody', 'Satire', 'School Club', 'School Life', 'Based on a Manga']"

Say &quot;I love you.&quot;,Suki-tte Ii na yo.,TV Series,13,Zexcs,2012,4.1,"Mei Tachibana has had neither a friend nor a boyfriend in 16 years, and she doesn’t plan on ending that streak any time soon. The outcast learned years ago that social obligations only lead to pain, and has carefully guarded her heart to keep from getting hurt. However, the girl can’t stay withdrawn forever, especially after attracting the attention of the handsome Yamato, who finds her caustic personality interesting and strives to date her after she roundhouse kicks him down the stairs. But even the most earnest of romances can be crippled by jealousy and insecurity, and this pair has plenty of both. Can their feelings for each other overcome their own emotional weaknesses, or will this love perish before it even begins?","['Drama', 'Romance', 'Shoujo', 'Slice of Life', 'School Life', 'Based on a Manga']"

Quanzhi Fashi,No alternative title found,Web,12,No studio found,2016,4.1,This entry currently doesn't have a synopsis. Check back soon!,"['Fantasy', 'Chinese Animation', 'Magic', 'School Life', 'Supernatural', 'Urban Fantasy', 'Based on a Light Novel', 'Based on a Web Novel']"

To Love Ru: Darkness,No alternative title found,TV Series,12,XEBEC,2012,4.1,"Rito Yuuki has more women in his life than he knows what to do with. In case it wasn’t enough to have all three Devilukean princesses under one roof, he now has alien girls from all over the galaxy attending his school, too! But when the arrival of a mysterious red-haired girl threatens one of their own, Rito and the girls must stand up to a powerful adversary- the likes of which they’ve never seen before.","['Comedy', 'Ecchi', 'Harem', 'Romance', 'Sci Fi', 'Shounen', 'Slice of Life', 'Aliens', 'Cohabitation', 'Love Triangle', 'Panty Shots', 'Royalty', 'School Life', 'Sexual Content', 'Nudity', 'Based on a Manga']"

A Letter to Momo,Momo e no Tegami,Movie,1,Production I.G,2011,4.1,"Following the death of her father, who left her a letter that never got beyond a greeting, Momo struggles to come to terms with her grief and guilt, and finds herself distanced from her mother. When the two move to a new home on a remote island in the Japanese Inland Sea, Momo befriends a young boy and his perceptive younger sister, a timid postman and three rascally goblins. With their help Momo prepares to take the plunge into her new life on the island.","['Comedy', 'Fantasy', 'Coming of Age', 'Countryside', 'Family Friendly', 'Island', 'Japanese Mythology', 'Lifestyle Change', 'Original Work', 'Youkai']"

Persona 4 the Animation: The Factor of Hope,No alternative title found,Movie,1,AIC A.S.T.A.,2012,4.1,"A compilation film, recapping the entire series of Persona 4 The Animation with new footage.","['Mystery', 'Recap', 'Supernatural', 'Based on a Video Game']"

Strike Witches Movie,No alternative title found,Movie,1,AIC,2012,4.1,"Yoshika Miyafuji which has now lost her witch powers and studies to be a doctor in her family clinic, is proposed with a military scholarship to study overseas. Shizuka Hattori, a new recruit of Fuso witches has the mission to escort her. Meanwhile a new kind of Neuroi appears and proves to be a worthy challenge to the abilities of fighting witches.","['Ecchi', 'Magic', 'Military', 'Original Work', 'Panty Shots']"

Comedy,Kigeki,OVA,1,Production I.G,2002,4.1,"Legend tells of a lone swordsman who lives in the Demon's Castle, the ruins near the Black Forest. This mysterious stranger only accepts rare books for his services, books from the ancient past. Comedy tells the story of a young girl who desperately wishes for her family and village to be saved from the coming English soldiers' wrath, and is willing to trade a precious book in exchange for the deed. With only her legs beneath her, she runs towards the Black Forest, hoping to get there in time...","['Action', 'Europe', 'Shorts', 'Supernatural', 'Swordplay', 'Vampires']"

Shakugan no Shana,No alternative title found,TV Series,24,J.C. Staff,2005,4.1,"Sakai Yuuji thought he was a normal high school student, until one fateful day when time stopped. Watching in horror, he witnesses a monster devouring the ""frozen"" people around him; but luckily for Yuuji, he is saved by a sword-wielding red-headed girl that calls herself a ""Flame Haze"". The girl informs him that he has been dead for some time now and that his current self is merely a replacement for the human that he used be while alive. He is, she says, merely a torch whose life will come to an end when the blue flame in his chest ceases to burn. After this rude awakening, Yuuji realizes that he is able to see the flames of life in other ""torches""; and after discovering that a friend of his is also a torch -- and her life is burning out faster than his – he gains the courage to live out the rest of his life with meaning. Will Yuuji be able to find his place in the world before he ceases to exist?","['Action', 'Fantasy', 'Contemporary Fantasy', 'Magic', 'Supernatural', 'Tsundere', 'Urban Fantasy', 'Based on a Light Novel']"

Rurouni Kenshin Movie,Samurai X: The Motion Picture,Movie,1,Gallop,1997,4.1,"During the Bakumatsu Period, death filled Japan as people fought for what was in their hearts. A young man took up the sword to fight for the Meiji government: he was known as Hitokiri Battousai. It is now the 12th year of the Meiji Period, and Hitokiri Battousai is now known as Himura Kenshin; he atones for his sins by carrying a reversed-blade sword that will never kill again. During a trip to Yokohama, Kenshin meets a samurai named Takimi Shigure who lost a close friend, Takatsuki Gentatsu, during the conflicts in the past. Takimi blames himself foolishly for his friend’s death, and vows to take revenge upon this corrupt Meiji government who wasted Gentatsu's sacrifice. As swords weave blood from their masters' enemies upon the bloody ground, one thing is certain: revenge will bring only suffering and regret is a miserable feeling.","['Drama', 'Shounen', 'Feudal Japan', 'Samurai', 'Swordplay', 'Based on a Manga']"

Arakawa Under the Bridge x Bridge,No alternative title found,TV Series,13,Shaft,2010,4.1,"Despite his best attempts, Ric’s unorthodox days under the bridge continue as always. He’s making little progress with his clueless lover, Nino; Hoshi continues to torment him at every turn; and even a simple baseball game leads the hapless heir to make an enemy out of a large Amazonian warrior woman! With bungled attempts to move in with Nino leading to the pair trading rooms and the highly competitive Arakawa Marathon taking place, Ric’s idyllic riverside life seems destined to prove more problematic than ever.","['Comedy', 'Romance', 'Seinen', 'Gag', 'Based on a Manga']"

To Love Ru: Darkness 2nd,No alternative title found,TV Series,12,XEBEC,2015,4.1,"Rito Yuuki's latest close encounters are starting to resemble a straight out invasion! While intergalactic romance is out of this world, attracting such high voltage vixens is not unlike being a fork stuck into an anti-matter engine to retrieve a plutonium bagel; it definitely messes with your head and heart. Rito struggles to grasp how he can love more than one girl at once, all while his inability to confess to his human paramour, Haruna, causes Devilukean Princess Momo's Harem Plan to come to a standstill. On top of that, the transforming assassin, Golden Darkness, is still interested in killing him, but she has her own family issues to deal with. Not to mention, a different darkness lurks among the innocent pandemonium. Things are just as out of control as always, but danger is on the horizon in TO LOVE RU DARKNESS 2!","['Comedy', 'Ecchi', 'Harem', 'Romance', 'Sci Fi', 'Shounen', 'Slice of Life', 'Aliens', 'Cohabitation', 'Love Triangle', 'Panty Shots', 'Royalty', 'School Life', 'Sexual Content', 'Nudity', 'Based on a Manga']"

Mobile Suit Gundam 00 Special Edition II: End of World,No alternative title found,OVA,1,Sunrise,2009,4.1,This entry currently doesn't have a synopsis. Check back soon!,"['Action', 'Mecha', 'Sci Fi', 'Original Work']"

Mobile Suit Gundam 00 Special Edition III: Return the World,No alternative title found,OVA,1,No studio found,2010,4.1,This entry currently doesn't have a synopsis. Check back soon!,"['Action', 'Mecha', 'Sci Fi', 'Original Work']"

Detective Conan,No alternative title found,TV Series,917,TMS Entertainment,1996,4.1,"Shinichi Kudo is a famous teenage detective who idolizes Sherlock Holmes and solves difficult cases with ease. One day, after a fun day at the theme park with his childhood friend Ran, Shinichi witnesses something suspicious and is knocked unconscious. What’s worse, he’s forced to take a deadly, experimental drug that shrinks his body to the age of seven. To protect himself and his loved ones from those who may want to finish the job, Shinichi dons the new name Conan Edogawa and moves in with Ran, whose father is a famous detective, in hopes of closing cases that can lead him to the men in black. But little does Shinichi know just how dangerous these men, and their cause, are...","['Drama', 'Mystery', 'Shounen', 'Age Transformation', 'Detectives', 'Episodic', 'Police', 'Based on a Manga']"

Aoki Hagane no Arpeggio: Ars Nova Cadenza,No alternative title found,Movie,1,SANZIGEN,2015,4.1,"Protagonist Gunzo Chihaya and his friends, with the help of renegade Fog A.Is, head towards the United States to present blueprints for a weapon that will turn the tides of war in humanity's favour. It is easier said than done because Gunzo and the rest of Arpeggio's crew have gotten the attention of the mysterious Admirality Code. Now they must face a new Fleet of Fog threat known as “Fog Student Council,” who are mental models dressed like high school girls. The Fog Student Council preaches that Earth's morals must correspond to the Fog's morals.","['Action', 'Sci Fi', 'Seinen', 'Ocean', 'Based on a Manga']"

Minami-ke Okaeri,No alternative title found,TV Series,13,asread,2009,4.1,"Life for the Minami sisters carries on as normal. Chiaki continues to idolize and adore her eldest sister; Kana is as lazy and absent-minded as ever; and Haruka is trying to hold the entire family together. With their apartment acting as a drop-in center for their sensitive and somewhat pathetic uncle, and a friendly hangout for their friends, the trio are never lonely or bored. From getting their fortunes during a new year’s shrine visit, to discussing the recent cup yakisoba phenomenon, or even debating moral dilemmas, no subject is too trivial or too grand for these sisters to handle. No matter what lay ahead for Haruka, Kana, and Chiaki, there will always be room for one more under the kotatsu.","['Comedy', 'Seinen', 'Slice of Life', 'Gag', 'Siblings', 'Based on a Manga']"

The Eccentric Family,Uchouten Kazoku,TV Series,13,P.A. Works,2013,4.1,"In Kyoto, youkai have adapted to an urbanized lifestyle, and are often indistinguishable from humans. Among them is Yasaburo, a brash young tanuki who wants nothing more than to live an exciting life with his family: a mother obsessed with Takarazuka theater, a frog stuck in the bottom of a well, a kid brother who works at the brandy factory, and an older brother who’s just trying to hold them all together. But two things stand in the way of Yasuburo’s dreams: the tanuki community has shunned the boy’s eccentric family since his esteemed father died, and the ever-present threat of being cooked and consumed by humans! Can the young tanuki manage to have fun without besmirching his father's legacy or meeting an untimely death by hot pot?","['Comedy', 'Drama', 'Fantasy', 'Slice of Life', 'Contemporary Fantasy', 'Family Life', 'Japanese Mythology', 'Youkai', 'Based on a Novel']"

Beyond the Boundary,Kyoukai no Kanata,TV Series,12,Kyoto Animation,2013,4.1,"In a world where supernatural beings known as youmu are hunted by Spirit World Warriors, Akihito lives an eventful life. He’s a half-breed from a human mother and a youmu father, and is immortal - a fact that saves his life on a regular basis, for his bespectacled classmate Mirai can’t seem to stop stabbing him in the chest. She’s a Spirit World Warrior with the power to control her blood, which she manifests into a sword; and with low self esteem about her abilities to hunt youmu, Mirai constantly uses Akihito as target practice. In hopes of being left alone, Akihito must now help Mirai gain confidence to take down sinister youmu.","['Action', 'Drama', 'Fantasy', 'Contemporary Fantasy', 'Magic', 'School Life', 'Urban Fantasy', 'Based on a Light Novel']"

Yumeiro Pâtissière SP Professional,No alternative title found,TV Series,13,Studio Pierrot,2010,4.1,"After two years training in Paris, Ichigo has returned to Japan ready to continue on the path of becoming a world-class patissiere. She excitedly enrolls in the upper class of the St. Marie Academy, only to discover that her champion cooking team is breaking up and the Princes of Sweets are following their own separate goals! Though upset that things cannot stay the same forever, Ichigo is nonetheless determined to ensure that her old pals and rivals don’t forget each other or what they can accomplish together. Now, alongside her friends and Sweet Spirit, Vanilla, the budding patissiere faces the true test of her abilities when Henry Lucas puts her in charge of her own sweets shop.","['Fantasy', 'Shoujo', 'Baking', 'Culinary School', 'Family Friendly', 'Food and Beverage', 'School Life', 'Based on a Manga']"

Dragon Ball Super,No alternative title found,TV Series,131,Toei Animation,2015,4.1,"With Majin Buu defeated, Goku has taken a completely new role as...a radish farmer?! With Earth at peace, our heroes have settled into normal lives. But they can’t get too comfortable. Far away, the powerful God of Destruction, Beerus, awakens to a prophecy revealing his demise at the hands of an even more formidable being. When his search for the Saiyan God brings him to Earth, can Goku and his friends take on their strongest foe yet?","['Action', 'Comedy', 'Aliens', 'Gods', 'Hand to Hand Combat', 'Martial Arts', 'Superpowers']"

Pandora Hearts,No alternative title found,TV Series,25,XEBEC,2009,4.1,"On the eve of nobleman Oz Bezarius's fifteenth birthday, he and his loved ones gather to celebrate in a coming-of-age ceremony. But after Oz steps under a long-stopped clock and the hands finally move once more - thus fulfilling a mysterious prophecy - he is violently thrown into the legendary prison known as the Abyss by three cloaked intruders. Existing in another dimension, the Abyss is home to lifeforms born within its walls known as Chains; these beings can only live in the real world if they make contracts with humans, binding their power to the person's body. However, there's a catch - in time, the human will be overcome by the Chain's power and then thrown into the deepest level of the Abyss. When Oz wakes up in the Abyss he is quickly attacked by hungry Chains, only to be saved by one named Alice - a Chain who appeared just before he was thrown into the prison. Together, the two make a contract and return to the real world, where they are enlisted into the Pandora organization - a group researching both the Abyss and the trio that threw Oz into it.  Along with members of Pandora, the duo searches to find Alice's lost memory fragments that are scattered throughout the world, to discover the secrets of the Abyss, and to determine if there's a way their contract can be broken without killing either Oz or Alice.","['Action', 'Comedy', 'Fantasy', 'Mystery', 'Shounen', 'Alice in Wonderland', 'Based on a Manga']"

Read or Die,No alternative title found,OVA,3,Studio Deen,2001,4.1,"Secret agent for the British Libraries, Yomiko Readman, has an infatuation with books. When she purchases one of the books that contain the notes for a plan to purge the world of humanity, Yomiko (along with the help of Ms. Deep and Drake) uses her powers of paper manipulation to stop a group of resurrected men from fulfilling the plan.","['Action', 'Sci Fi', 'Superpowers', 'Based on a Light Novel']"

Food Wars! The Third Plate: Erina no Shin Seikatsu,Shokugeki no Souma: San no Sara - Erina no Shin Seikatsu,OVA,1,J.C. Staff,2018,4.1,"After running away from her father Azami Nakiri, Erina Nakiri  will encounter various firsts in her new life, such as doing laundry and taking a public bath. ","['Comedy', 'Ecchi', 'Shounen', 'Slice of Life', 'Boarding House', 'Cooking', 'Neighbors', 'Based on a Manga']"

Tokyo Ravens,No alternative title found,TV Series,24,8-Bit,2013,4.1,"As a descendant of the famous Tsuchimikado shaman clan, Harutora is a failure; he has no talent, can't grasp magical theory, and can't even see spirits! Thankfully, his cousin Natsume is the heir to the family line instead, but unfortunately for the girl, it puts her in the crosshairs of other shamans who hold grudges against their clan or seek to exploit her power for their own. To help keep her safe from the dangerous world of the supernatural, Harutora decides to become Natsume’s familiar and protector. So together, they learn about magical techniques, banishing spirits, and fighting together as a team - while doing their best to keep Natsume out of harm's way.","['Action', 'Magic', 'Magic School', 'School Life', 'Supernatural', 'Based on a Light Novel']"

Shakugan no Shana III,Shakugan no Shana Final,TV Series,24,J.C. Staff,2011,4.1,"Yuuji disappeared the fateful night he was supposed to choose between a life combatting evil by Shana's side or as a normal teenager. He returns from near-death to lead the Crimson Denizens in a dubious plot to bring peace to the universe - but Shana isn't fooled. In an explosive reunion, the fiery warrior faces her unlikeliest of foes while Flame Hazes from across the world join forces to ignite a war that will determine the fate of all supernatural kind.","['Action', 'Drama', 'Fantasy', 'Contemporary Fantasy', 'Magic', 'Supernatural', 'Tsundere', 'Urban Fantasy', 'Based on a Light Novel']"

Gangsta.,No alternative title found,TV Series,12,Manglobe,2015,4.1,"In the city of Ergastulum, a shady ville filled with made men and petty thieves, whores on the make and cops on the take, there are some deeds too dirty for even its jaded inhabitants to touch. Enter the ""Handymen,"" Nic and Worick, who take care of the jobs no one else will handle. Until the day when a cop they know on the force requests their help in taking down a new gang muscling in on the territory of a top Mafia family. It seems like business (and mayhem) as usual, but the Handymen are about to find that this job is a lot more than they bargained for.","['Action', 'Seinen', 'Drug Use', 'Gangs', 'Sexual Content', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Prostitution', 'Based on a Manga']"

