title,alt_title,type,num_of_ep,studio,year,rating,description,tags
Natsume Yuujinchou Roku,Natsume's Book of Friends Season 6,TV Series,11,Shuka,2017,4.6,Precious days with kinds friends. A beautiful yet fleeting story about people and spirits. Natsume Takashi had been able to see youkai ever since he was young and inherited his grandmother Reiko’s Book of Friends. He spends his days with his self-proclaimed bodyguard Nyanko-sensei and freeing the youkai that were bound to the book. Natsume continues to find ways to protect the precious days where he tries to find which path to follow through his connections with spirits and those involved with them and being helped out by friends who share the same feelings.,"['Drama', 'Fantasy', 'Shoujo', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']"

Gintama': Enchousen,No alternative title found,TV Series,13,Sunrise,2012,4.6,Third season of Gintama.,"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']"

Made in Abyss,No alternative title found,TV Series,13,Kinema Citrus,2017,4.6,"Young Riko has spent her entire childhood dreaming of exploring the Abyss, an enormous pit and series of caves filled with wonders and terrors that only the staunchest Cave Raiders have survived to bring back ancient artifacts from its depths. No one knows just how deep the pit is, but Riko's own mother disappeared into it years ago, leaving her daughter behind with a powerful urge to follow after her and learn the Abyss's mysteries for herself. One day Riko discovers a boy who seems to have originated from the Abyss and appears to be a sort of robot. Can he aid the little girl in her quest to find her missing mother? Or will the children become the Abyss's next victims?","['Adventure', 'Fantasy', 'Mystery', 'Sci Fi', 'Seinen', 'Androids', 'Melancholy', 'Orphans', 'Outside World', 'Psychological', 'Robots', 'Explicit Violence', 'Based on a Manga']"

One-Punch Man,No alternative title found,TV Series,12,MADHOUSE,2015,4.6,"In a city plagued with thugs, mutants, and supervillains, Saitama decides to become a superhero for fun. He envisions an exciting life where he is constantly challenged with tough opponents, but after three years of intense training, he's become so strong that he defeats every enemy with one punch! His dream of engaging challenging foes has gone up in smoke, and his overpowered life is filled with overpowering boredom. Then a cyborg named Genos learns about Saitama's amazing ability and begs him to make him his disciple. Saitama isn't interested in taking on an apprentice, but Genos isn't giving up. Can he convince the disillusioned hero to teach him the secret of his strength? And will Saitama ever find a worthy adversary to battle?","['Action', 'Comedy', 'Sci Fi', 'Seinen', 'Cyborgs', 'Monsters', 'Overpowered Main Characters', 'Parody', 'Satire', 'Superheroes', 'Superpowers', 'Explicit Violence', 'Based on a Manga']"

Gintama',No alternative title found,TV Series,51,Sunrise,2011,4.6,"Gintoki Sakata, Kagura, and Shinpachi Shimura continue to scrape together a living as the freelance jack-of-all-trades group Yorozuya in Edo while living among the several odd humans and aliens that inhabit the peculiar metropolis.","['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Breaking the Fourth Wall', 'Crude', 'Feudal Japan', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']"

Mushishi Zoku Shou,Mushishi -Next Passage-,TV Series,10,Artland,2014,4.6,"They existed long before anyone can remember. They are simple and strange in nature, not resembling any other plant or animal in this world. In ancient times, people revered these bizarre creatures and called them “Mushi.” People once again began to believe in the existence of these “Mushi” when they began affecting their lives in inexplicable ways. The one who connects the world of “Mushi” to the world of humans—they were called the “Mushi-shi.” All life exists not to hinder others in this world. They are simply there to live as they were meant to.","['Fantasy', 'Seinen', 'Episodic', 'Iyashikei', 'Supernatural', 'Based on a Manga']"

Wolf Children,Ookami Kodomo no Ame to Yuki,Movie,1,Studio Chizu,2012,4.6,"Hana was a student before she was a mother. She was bright and pretty, and her future held endless possibilities. Then she met a man, who turned out to be a wolf, and together they built a family. Hana loved her mate fiercely, but fate took him from her, leaving her alone with two unusual kids she didn’t know how to raise. Frightened of being discovered, Hana and her wolf children fled to the countryside to build a new life. Raising her little wild things was an adventure. It left Hana bruised, scratched, exhausted, and joyously overwhelmed as her pups grew stronger and wandered further every day. This is a mother’s journey. Teach your children to chase their dreams – and smile through the tears as they disappear into the world in search of who they will become. Hana wasn’t always a mother, but it was always what she was meant to be.","['Fantasy', 'Slice of Life', 'Childcare', 'Coming of Age', 'Contemporary Fantasy', 'Countryside', 'Family Life', 'Lifestyle Change', 'Original Work', 'Single Parent', 'Werewolves']"

Spirited Away,Sen to Chihiro no Kamikakushi,Movie,1,Studio Ghibli,2001,4.6,"Chihiro and her family are on their way to their new home, when they discover an abandoned amusement park. After Chihiro's family mysteriously turn into pigs, she is thrown into a surreal world of magic and fantasy. Join her as she struggles to survive in the bathhouse of the gods, ruled by an evil witch who has stolen not only her name, but her way back to the real world.","['Adventure', 'Fantasy', 'Family Friendly', 'Japanese Mythology', 'Magic', 'Original Work', 'Person in a Strange World', 'Youkai']"

Kizumonogatari Movie 3: Reiketsu,Kizumonogatari Movie 3: Reiketsu-hen,Movie,1,Shaft,2017,4.6,Part 3 of the Kizumonogatari triology.,"['Action', 'Drama', 'Ecchi', 'Psychological', 'Supernatural', 'Vampires', 'Explicit Violence', 'Nudity', 'Based on a Light Novel']"

Hajime no Ippo: New Challenger,Fighting Spirit: New Challenger,TV Series,26,MADHOUSE,2009,4.6,"Ippo continues his career as a professional boxer, trying to live up to his role as the Japanese champion. Now that a new generation looks up to him as both a role model and a target - even though he's still a little green behind the ears himself - Ippo must develop his skills both inside and outside the ring. Can the kind Ippo ruthlessly crush his challengers and be a man his younger peers can look up to? And ultimately, can he take his skills to the level where he can follow in Date Eiji's footsteps and aim for the international title? Pro boxing is a difficult sport; Ippo and his friends - even the mighty Kimura, must survive in a competetive world where all others must fall in order for one to rise to the top...","['Action', 'Drama', 'Shounen', 'Sports', 'Boxing', 'Hand to Hand Combat', 'Tournaments', 'Based on a Manga']"

Owarimonogatari (2017),No alternative title found,TV Special Series,3,Shaft,2017,4.6,Second season of Owarimonogatari.,"['Supernatural', 'Based on a Light Novel']"

Natsume Yuujinchou Shi,Natsume's Book of Friends Season 4,TV Series,13,Brain's Base,2012,4.6,"Takashi Natsume continues to return the names of the spirits that have been written in the ""Book of Friends"" he inherited from his grandmother, Reiko Natsume. While Natsume is still aided by the chubby Nyanko-sensei, he's now helped by some of the friends he had made in his journey; be it human beings or spirits. As he becomes closer to both, Natsume faces the inevitable question of the sides he has to take especially when there is a conflict between the two.","['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']"

